model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
catboost_baseline,0.8720238095238095,0.6451612903225806,0.3846153846153846,0.4819277108433735,0.865249187432286,0.8660714285714286,0.6052631578947368,0.4339622641509434,0.5054945054945055,0.889892659510634
catboost_tuned,0.8690476190476191,0.6666666666666666,0.3076923076923077,0.4210526315789473,0.8769637053087758,0.8958333333333334,0.78125,0.4716981132075472,0.5882352941176471,0.871158077205147
lightgbm_baseline,0.8630952380952381,0.5882352941176471,0.3846153846153846,0.4651162790697674,0.8786565547128927,0.8869047619047619,0.6744186046511628,0.5471698113207547,0.6041666666666666,0.8910260684045602
lightgbm_tuned,0.8630952380952381,0.59375,0.3653846153846153,0.4523809523809524,0.8770991332611051,0.8958333333333334,0.725,0.5471698113207547,0.6236559139784946,0.8866924461630775
randomforest_baseline,0.8630952380952381,0.625,0.2884615384615384,0.3947368421052631,0.8619312026002167,0.8690476190476191,0.6451612903225806,0.3773584905660377,0.4761904761904761,0.8736915794386293
randomforest_tuned,0.8660714285714286,0.6296296296296297,0.3269230769230769,0.430379746835443,0.8608477789815818,0.8720238095238095,0.6666666666666666,0.3773584905660377,0.4819277108433735,0.8812254150276685
xgboost_baseline,0.8630952380952381,0.5882352941176471,0.3846153846153846,0.4651162790697674,0.8797399783315276,0.8779761904761905,0.6428571428571429,0.5094339622641509,0.5684210526315789,0.8911594106273751
xgboost_tuned,0.8601190476190477,0.5757575757575758,0.3653846153846153,0.4470588235294118,0.8789274106175513,0.8898809523809523,0.7105263157894737,0.5094339622641509,0.5934065934065934,0.8916927795186346
stacking_baseline,0.8630952380952381,0.59375,0.3653846153846153,0.4523809523809524,0.8857665222101841,0.8898809523809523,0.7222222222222222,0.490566037735849,0.5842696629213483,0.8863590906060405
stacking_tuned,0.8601190476190477,0.5757575757575758,0.3653846153846153,0.4470588235294118,0.8622020585048754,0.875,0.6341463414634146,0.490566037735849,0.5531914893617021,0.8894926328421894
catboost_baseline,0.8720238095238095,0.6451612903225806,0.3846153846153846,0.4819277108433735,0.865249187432286,0.8660714285714286,0.6052631578947368,0.4339622641509434,0.5054945054945055,0.889892659510634
catboost_tuned,0.8690476190476191,0.6666666666666666,0.3076923076923077,0.4210526315789473,0.8769637053087758,0.8958333333333334,0.78125,0.4716981132075472,0.5882352941176471,0.871158077205147
lightgbm_baseline,0.8630952380952381,0.5882352941176471,0.3846153846153846,0.4651162790697674,0.8786565547128927,0.8869047619047619,0.6744186046511628,0.5471698113207547,0.6041666666666666,0.8910260684045602
lightgbm_tuned,0.8630952380952381,0.59375,0.3653846153846153,0.4523809523809524,0.8770991332611051,0.8958333333333334,0.725,0.5471698113207547,0.6236559139784946,0.8866924461630775
randomforest_baseline,0.8630952380952381,0.625,0.2884615384615384,0.3947368421052631,0.8619312026002167,0.8690476190476191,0.6451612903225806,0.3773584905660377,0.4761904761904761,0.8736915794386293
randomforest_tuned,0.8660714285714286,0.6296296296296297,0.3269230769230769,0.430379746835443,0.8608477789815818,0.8720238095238095,0.6666666666666666,0.3773584905660377,0.4819277108433735,0.8812254150276685
xgboost_baseline,0.8630952380952381,0.5882352941176471,0.3846153846153846,0.4651162790697674,0.8797399783315276,0.8779761904761905,0.6428571428571429,0.5094339622641509,0.5684210526315789,0.8911594106273751
xgboost_tuned,0.8601190476190477,0.5757575757575758,0.3653846153846153,0.4470588235294118,0.8789274106175513,0.8898809523809523,0.7105263157894737,0.5094339622641509,0.5934065934065934,0.8916927795186346
stacking_baseline,0.8630952380952381,0.59375,0.3653846153846153,0.4523809523809524,0.8857665222101841,0.8898809523809523,0.7222222222222222,0.490566037735849,0.5842696629213483,0.8863590906060405
stacking_tuned,0.8601190476190477,0.5757575757575758,0.3653846153846153,0.4470588235294118,0.8622020585048754,0.875,0.6341463414634146,0.490566037735849,0.5531914893617021,0.8894926328421894
catboost_baseline,0.8720238095238095,0.6451612903225806,0.3846153846153846,0.4819277108433735,0.865249187432286,0.8660714285714286,0.6052631578947368,0.4339622641509434,0.5054945054945055,0.889892659510634
catboost_tuned,0.8690476190476191,0.6666666666666666,0.3076923076923077,0.4210526315789473,0.8769637053087758,0.8958333333333334,0.78125,0.4716981132075472,0.5882352941176471,0.871158077205147
lightgbm_baseline,0.8630952380952381,0.5882352941176471,0.3846153846153846,0.4651162790697674,0.8786565547128927,0.8869047619047619,0.6744186046511628,0.5471698113207547,0.6041666666666666,0.8910260684045602
lightgbm_tuned,0.8630952380952381,0.59375,0.3653846153846153,0.4523809523809524,0.8770991332611051,0.8958333333333334,0.725,0.5471698113207547,0.6236559139784946,0.8866924461630775
randomforest_baseline,0.8630952380952381,0.625,0.2884615384615384,0.3947368421052631,0.8619312026002167,0.8690476190476191,0.6451612903225806,0.3773584905660377,0.4761904761904761,0.8736915794386293
randomforest_tuned,0.8660714285714286,0.6296296296296297,0.3269230769230769,0.430379746835443,0.8608477789815818,0.8720238095238095,0.6666666666666666,0.3773584905660377,0.4819277108433735,0.8812254150276685
xgboost_baseline,0.8630952380952381,0.5882352941176471,0.3846153846153846,0.4651162790697674,0.8797399783315276,0.8779761904761905,0.6428571428571429,0.5094339622641509,0.5684210526315789,0.8911594106273751
xgboost_tuned,0.8601190476190477,0.5757575757575758,0.36538461538461536,0.4470588235294118,0.8789274106175513,0.8898809523809523,0.7105263157894737,0.5094339622641509,0.5934065934065934,0.8916927795186346
